time(s),mls0_(m),mls1_(m),V(m/s),W(rad/s)
1614597163.921261,0,0,0,0
1614597163.936465,0,0,0,0
1614597163.971526,0,0,0,0
1614597164.021414,0,0,0,0
1614597164.071431,-0.11299999803304672,0.12800000607967377,0,0
1614597164.121406,-0.11299999803304672,0.12800000607967377,0,0
1614597164.171477,-0.11299999803304672,0.12800000607967377,0,0
1614597164.221431,-0.11299999803304672,0.12800000607967377,0,0
1614597164.271504,-0.11299999803304672,0.12800000607967377,0,0
1614597164.321402,-0.11299999803304672,0.12800000607967377,0,0
1614597164.371489,-0.11299999803304672,0.12800000607967377,0,0
1614597164.421432,-0.11299999803304672,0.12700000405311584,0,0
1614597164.471481,-0.11299999803304672,0.12800000607967377,0,0
1614597164.521441,-0.11299999803304672,0.12800000607967377,0,0
1614597164.57145,-0.11299999803304672,0.12800000607967377,0,0
1614597164.621518,-0.11299999803304672,0.12800000607967377,0,0
1614597164.671513,-0.11299999803304672,0.12800000607967377,0,0
1614597164.721416,-0.11299999803304672,0.12800000607967377,0,0
1614597164.771485,-0.11299999803304672,0.12800000607967377,0,0
1614597164.821434,-0.11299999803304672,0.12700000405311584,0,0
1614597164.87144,-0.11299999803304672,0.12800000607967377,0,0
1614597164.921412,-0.11299999803304672,0.12800000607967377,0,0
1614597164.971468,-0.11299999803304672,0.12700000405311584,0,0
1614597165.021389,-0.11299999803304672,0.12800000607967377,0,0
1614597165.071465,-0.11299999803304672,0.12800000607967377,0,0
1614597165.121405,-0.11299999803304672,0.12800000607967377,0,0
1614597165.171479,-0.11299999803304672,0.12800000607967377,0,0
1614597165.221411,-0.11299999803304672,0.12800000607967377,0,0
1614597165.271476,-0.11299999803304672,0.12800000607967377,0,0
1614597165.321393,-0.11299999803304672,0.12800000607967377,0,0
1614597165.371472,-0.11299999803304672,0.12800000607967377,0,0
1614597165.421376,-0.11299999803304672,0.12800000607967377,0,0
1614597165.471506,-0.11299999803304672,0.12800000607967377,0,0
1614597165.521442,-0.11299999803304672,0.12800000607967377,0,0
1614597165.57147,-0.11299999803304672,0.12800000607967377,0,0
1614597165.621407,-0.11299999803304672,0.12800000607967377,0,0
1614597165.671463,-0.11299999803304672,0.12800000607967377,0,0
1614597165.721423,-0.11299999803304672,0.12700000405311584,0,0
1614597165.771462,-0.11299999803304672,0.12800000607967377,0,0
1614597165.821414,-0.11299999803304672,0.12800000607967377,0,0
1614597165.87149,-0.11299999803304672,0.12800000607967377,0,0
1614597165.921432,-0.11299999803304672,0.12800000607967377,0,0
1614597165.971477,-0.11299999803304672,0.12800000607967377,0,0
1614597166.021448,-0.11299999803304672,0.12800000607967377,0,0
1614597166.071485,-0.11299999803304672,0.12800000607967377,0,0
1614597166.121413,-0.11299999803304672,0.12800000607967377,0,0
1614597166.171492,-0.11299999803304672,0.12800000607967377,0,0
1614597166.221411,-0.11299999803304672,0.12800000607967377,0,0
1614597166.271412,-0.11299999803304672,0.12700000405311584,0,0
1614597166.321407,-0.11299999803304672,0.12800000607967377,0,0
1614597166.37149,-0.11299999803304672,0.12800000607967377,0,0
1614597166.421408,-0.11299999803304672,0.12800000607967377,0,0
1614597166.471486,-0.11299999803304672,0.12700000405311584,0,0
1614597166.521405,-0.11299999803304672,0.12800000607967377,0,0
1614597166.571472,-0.11299999803304672,0.12700000405311584,0,0
1614597166.621458,-0.11299999803304672,0.12800000607967377,0,0
1614597166.671448,-0.11299999803304672,0.12700000405311584,-0.0,-0.0
1614597166.721417,-0.11299999803304672,0.12800000607967377,-0.0013446600594391271,-0.004278457740575332
1614597166.771449,-0.11299999803304672,0.12800000607967377,-0.0026893201188782543,-0.008556860072132947
1614597166.82142,-0.11299999803304672,0.12800000607967377,-0.004033980178317382,-0.01283515158996052
1614597166.871486,-0.11299999803304672,0.12800000607967377,-0.0053786402377565086,-0.01711327689795567
1614597166.921427,-0.11299999803304672,0.12800000607967377,-0.006723300297195636,-0.02139118061292885
1614597166.97147,-0.11299999803304672,0.12800000607967377,-0.008067960356634762,-0.025668807368903722
1614597167.021415,-0.11299999803304672,0.12800000607967377,-0.009412620416073889,-0.029946101821414196
1614597167.071493,-0.11299999803304672,0.12700000405311584,-0.010757280475513017,-0.03422300865179727
1614597167.121414,-0.11299999803304672,0.12800000607967377,-0.012101940534952145,-0.0384994725714809
1614597167.171487,-0.11299999803304672,0.12800000607967377,-0.013446600594391274,-0.042775438326265985
1614597167.221408,-0.11299999803304672,0.12800000607967377,-0.014791260653830402,-0.047050850700601776
1614597167.27146,-0.1120000034570694,0.12700000405311584,-0.01608148248523306,-0.050522175223685906
1614597167.321418,-0.1120000034570694,0.12700000405311584,-0.01762590843657952,-0.05558270962190782
1614597167.371434,-0.11100000143051147,0.12700000405311584,-0.01920126106929746,-0.06077726947612474
1614597167.421409,-0.10999999940395355,0.12600000202655792,-0.020739831033157134,-0.06507721760621392
1614597167.47147,-0.1080000028014183,0.125,-0.022372384692497038,-0.07046156076401776
1614597167.521416,-0.10599999874830246,0.125,-0.024223712037378393,-0.07591042956213896
1614597167.571487,-0.10499999672174454,0.12399999797344208,-0.02592798109136073,-0.0815514185020113
1614597167.621402,-0.10300000011920929,0.12300000339746475,-0.02787153625935772,-0.08721745552392013
1614597167.671493,-0.10100000351667404,0.12300000339746475,-0.02986587277688336,-0.092973786117899
1614597167.721418,-0.10000000149011612,0.12200000137090683,-0.03191061057220809,-0.09881560927843398
1614597167.771503,-0.09799999743700027,0.12099999934434891,-0.03366968902073001,-0.1033159487910632
1614597167.821424,-0.09600000083446503,0.11999999731779099,-0.0358004171619819,-0.10925637899379095
1614597167.871486,-0.09399999678134918,0.11800000071525574,-0.0379805939024233,-0.11526877680347616
1614597167.921412,-0.09200000017881393,0.11699999868869781,-0.04058620018526439,-0.12294252067166198
1614597167.971498,-0.08900000154972076,0.11599999666213989,-0.04276530414947822,-0.1271196611865651
1614597168.021393,-0.08699999749660492,0.11400000005960464,-0.04510085082047973,-0.1332722451289298
1614597168.071478,-0.08399999886751175,0.1120000034570694,-0.04777969701766783,-0.13899048880877113
1614597168.121432,-0.08100000023841858,0.11100000143051147,-0.05052347039375484,-0.14463071672093464
1614597168.171473,-0.07800000160932541,0.1080000028014183,-0.05345732239146218,-0.1526256355751395
1614597168.221433,-0.07400000095367432,0.10599999874830246,-0.05665110542058349,-0.15745475641538642
1614597168.271494,-0.07100000232458115,0.10400000214576721,-0.059595680809963754,-0.16280819205480793
1614597168.321404,-0.06700000166893005,0.10100000351667404,-0.06293582445533122,-0.16711364487857477
1614597168.371484,-0.06300000101327896,0.09799999743700027,-0.06587159066276259,-0.169192786965873
1614597168.421392,-0.05900000035762787,0.0949999988079071,-0.06983862752932546,-0.17465893537851637
1614597168.47147,-0.054999999701976776,0.09300000220537186,-0.07304454194595496,-0.17910731749177633
1614597168.521407,-0.050999999046325684,0.09099999815225601,-0.0766684127764354,-0.18200670485158432
1614597168.571548,-0.04800000041723251,0.08900000154972076,-0.08050912164245616,-0.18786310696432812
1614597168.621417,-0.04399999976158142,0.08699999749660492,-0.08442168507476011,-0.19352259841476363
1614597168.671485,-0.03999999910593033,0.08399999886751175,-0.08840435250597471,-0.198965898587907
1614597168.721403,-0.035999998450279236,0.0820000022649765,-0.09245537728341904,-0.20417372982790827
